customer_id,full_name,segment,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,rfm_label
24,Arif Rahman 24,Gold,157.0,4,4469050.0,5,5,5,15,Champions
273,Budi Santoso 273,Regular,159.0,2,3722600.0,5,5,5,15,Champions
234,Lina Marlina 234,Regular,168.0,3,11461500.0,5,5,5,15,Champions
278,Rina Kartika 278,Gold,177.0,3,1437250.0,5,5,5,15,Champions
252,Dian Novita 252,Silver,186.0,2,27313400.0,5,5,5,15,Champions
182,Yusuf Hakim 182,Gold,190.0,3,4602500.0,5,5,5,15,Champions
272,Bambang Prayogo 272,Regular,216.0,1,993000.0,5,5,5,15,Champions
286,Rizki Pratama 286,Regular,221.0,3,11515750.0,5,5,5,15,Champions
218,Agus Wijaya 218,Regular,228.0,2,5437100.0,5,5,5,15,Champions
181,Rian Setiawan 181,Regular,249.0,2,1473000.0,5,5,5,15,Champions
51,Hendra Saputra 51,Silver,285.0,2,4930650.0,5,5,5,15,Champions
287,Deni Kurniawan 287,Regular,290.0,2,1175400.0,5,5,5,15,Champions
115,Lina Marlina 115,Regular,314.0,3,26774850.0,5,5,5,15,Champions
39,Fitri Rahayu 39,Gold,343.0,1,821100.0,5,5,5,15,Champions
2,Sandi Utomo 2,Regular,357.0,1,249000.0,5,5,5,15,Champions
298,Sri Wahyuni 298,Regular,435.0,3,25110050.0,5,5,5,15,Champions
101,Nadia Safitri 101,Silver,473.0,2,7017600.0,5,5,5,15,Champions
222,Fitri Rahayu 222,Regular,482.0,1,1299000.0,5,5,5,15,Champions
221,Bambang Prayogo 221,Silver,542.0,1,4667550.0,5,5,5,15,Champions
190,Bambang Prayogo 190,Platinum,109.0,3,8810050.0,4,5,5,14,Champions
111,Rian Setiawan 111,Gold,122.0,1,25049300.0,4,5,5,14,Champions
78,Nurul Hidayah 78,Silver,140.0,2,5976650.0,4,5,5,14,Champions
163,Hendra Saputra 163,Regular,238.0,5,24860400.0,5,4,5,14,Champions
177,Deni Kurniawan 177,Silver,283.0,4,30918000.0,5,4,5,14,Champions
245,Rini Puspita 245,Gold,298.0,1,54867300.0,5,5,4,14,Champions
216,Yuli Astuti 216,Regular,342.0,2,38773800.0,5,5,4,14,Champions
